column,method,seed,mae,rmse,mse,r2,mape,median_absolute_error,bias,percentage_bias,variance_distortion,std_distortion,ks_statistic,wasserstein_distance,correlation_preservation,distribution_similarity,runtime_seconds
weekend_flag,iterative,29,0.343312184382332,0.4090507181881726,0.16732249005025981,0.18550951357746126,57.97942070988541,0.3064052906157715,-0.007479528720862699,-2.58906763414478,0.7954168281894293,0.5476913177679081,0.6296296296296297,0.2848637433253236,0.4315249660523557,0.37037037037037035,3.3023758999988786
weekend_flag,department_mean,11,0.4014786379126169,0.44826802831808893,0.20094422521218697,-0.0016296764422856214,72.29265291337623,0.28074534161490683,-0.00014721160613990347,-0.05299617821036525,0.9999131071998808,0.9906810209500129,0.7222222222222222,0.398205506085068,-0.08277350525384197,0.2777777777777778,0.016692999997758307
weekend_flag,department_mean,29,0.4057381933869486,0.4535032407689629,0.20566518938795197,-0.001134635842795051,72.35665325203705,0.27743526510480887,-0.012322469847043282,-4.265470331668828,0.9999783826333384,0.99535576768355,0.7111111111111111,0.40412824668720215,-0.04025724935798264,0.28888888888888886,0.01597590000164928
weekend_flag,hospital_median,11,0.2777777777777778,0.5270462766947299,0.2777777777777778,-0.3846153846153846,100.0,0.0,-0.2777777777777778,-100.0,0.9999999501538487,0.9999999776737483,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.01775019999331562
weekend_flag,hospital_median,29,0.28888888888888886,0.5374838498865699,0.28888888888888886,-0.40625,100.0,0.0,-0.28888888888888886,-100.0,0.9999999513221178,0.9999999779369353,0.28888888888888886,0.28888888888888886,0.0,0.7111111111111111,0.015462100003787782
weekend_flag,seasonal,11,0.2777777777777778,0.5270462766947299,0.2777777777777778,-0.3846153846153846,100.0,0.0,-0.2777777777777778,-100.0,0.9999999501538487,0.9999999776737483,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.016497099997650366
weekend_flag,seasonal,29,0.28888888888888886,0.5374838498865699,0.28888888888888886,-0.40625,100.0,0.0,-0.28888888888888886,-100.0,0.9999999513221178,0.9999999779369353,0.28888888888888886,0.28888888888888886,0.0,0.7111111111111111,0.017317400001047645
weekend_flag,rolling_median,11,0.30092592592592593,0.5387743291748205,0.2902777777777778,-0.44692307692307676,100.0,0.0,-0.25462962962962965,-91.66666666666667,0.9403632009897591,0.7557936111027231,0.275925925925926,0.25462962962962965,-0.13124670656927856,0.724074074074074,0.029426900000544265
weekend_flag,rolling_median,29,0.2935185185185185,0.5396329342281693,0.2912037037037037,-0.41751802884615374,100.0,0.0,-0.28425925925925927,-98.3974358974359,0.9888362566198163,0.8943415908911553,0.28888888888888886,0.2842592592592592,-0.06161760277682533,0.7111111111111111,0.027048500000091735
weekend_flag,hybrid,11,0.2777777777777778,0.5270462766947299,0.2777777777777778,-0.3846153846153846,100.0,0.0,-0.2777777777777778,-100.0,0.9999999501538487,0.9999999776737483,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.02807310000207508
weekend_flag,hybrid,29,0.28888888888888886,0.5374838498865699,0.28888888888888886,-0.40625,100.0,0.0,-0.28888888888888886,-100.0,0.9999999513221178,0.9999999779369353,0.28888888888888886,0.28888888888888886,0.0,0.7111111111111111,0.027752000001783017
holiday_flag,mean,11,0.06336762688614542,0.19372392469737035,0.03752895900015242,-0.004077846081699699,97.34567901234567,0.02654320987654321,-0.012345679012345677,-31.74603174603174,0.9999997324525901,0.9999999482750105,0.9611111111111111,0.06336762688614538,-1.87167125842994e-16,0.03888888888888886,0.003405999996175524
holiday_flag,mean,29,0.04935528120713306,0.14753473831371838,0.021766499009297363,-0.0017536475869808221,97.16049382716051,0.028395061728395062,0.006172839506172832,27.777777777777747,0.999999539772939,0.9999999321599521,0.9777777777777779,0.04935528120713309,0.0,0.022222222222222143,0.0034174999964307062
